Institution,Date Submitted,Last Updated,Liason Email,Version,Status,Does the institution have policies and/or guidelines in place to improve outdoor air quality and ...,A brief description of the policies and/or guidelines to improve outdoor air quality and minimize ...,Has the institution completed an inventory of significant air emissions from stationary sources on ...,A brief description of the methodology(ies) the institution used to complete its air emissions ...,Weight of the following categories of air emissions from stationary sources:,Nitrogen oxides (NOx) emissions,Sulfur oxides (SOx) emissions,Carbon monoxide (CO) emissions,Particulate matter (PM) emissions,Ozone (O3) emissions,Lead (Pb) emissions,Hazardous air pollutants (HAPs) emissions,Ozone-depleting compounds (ODCs) emissions,Other standard categories of air emissions identified in permits and/or regulations,A brief description of the institution’s initiatives to minimize air pollutant emissions from ...,"The website URL where information about the institution’s outdoor air quality policies, guidelines ...",Public Notes
Saint Louis University,2016-03-24,2016-03-24 17:16:36,bverhof1@slu.edu,2.0,Pursuing,True,"SLU does not have a formal policy in place regarding outdoor air quality (OAQ). However, the University continues to enforce the no idling policy, which is made known to campus users by the installation of 14 ""No Idling"" signs. The University continues to encourage and provide alternative transportation options to limit the amount of single car rides to and from campus.",True,"This inaugural GHG emissions inventory was completed in-house by Facilities Services' Sustainability & Benchmarking department using CarbonMAP, a web-based college campus carbon calculator was used to complete a greenhouse gas inventory. ",**,4.0,--,--,--,--,--,--,--,--,n/a,http://www.slu.edu/facilities-services-home/sustainability/campus-operations/air-and-climate,"At this time Saint Louis University has not as an institution adopted a formal policy regarding outdoor air quality. However, in partnership with Clean Air St. Louis, Facilities Services has installed 14 ""No Idling"" signs on campus as part of an initiative to improve the air quality of the St. Louis area. 

Additionally, Saint Louis University provides a number of alternative transportation options for campus users, including free shuttle and van rental services; access to public transportation (such as Metro Bus and Metro Link light rail services); and carpool matching through a partnership with RideFinders, the St. Louis regional rideshare program sponsored by Citizen's for Modern Transit (CMT).  For more information, please visit: http://www.slu.edu/facilities-services-home/sustainability/campus-operations/transportation"
San Francisco State University,2016-03-25,2016-03-25 17:33:27,kordesch@sfsu.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Santa Clara University,2016-02-26,2016-02-26 20:44:42,lkalkbrenner@scu.edu,2.0,Pursuing,--,No mobile source program exists. ,--,"Air emission sources are permitted by the Bay Area Air Quality Management District (BAAQMD). These primarily include our diesel standby emergency generators and natural gas fired boilers from 2-10 MM/BTU/hr. Program includes permitting of new equipment, testing, limited run times (for emergency generators), inspections, routine maintenance, etc. BAAQMD permitted source emissions include: Particulates, organics, NOx, CO for emergency generators. NOx and CO for gas fired boilers.

BAAQMD permitted source emissions include: Particulates, organics, NOx, CO for emergency generators NOx and CO for gas fired boilers.  ",**,--,--,--,--,--,--,--,--,--,Complying with our BAAQMD permit conditions is the extent of our program.  ,--,--
Seattle University,2016-03-23,2016-03-23 11:52:32,thompson@seattleu.edu,2.0,Pursuing,--,We strive to use as many electric vehicles as possible.,True,We have confirmed that we have no significant stationary sources for air emissions on campus.,**,--,--,--,--,--,--,--,--,--,,--,--
Sewanee - The University of the South,2016-02-10,2016-02-10 09:31:33,mpate@sewanee.edu,2.0,Pursuing,True,"The Sewanee Community Council passed an ordinance on February 23, 2009 that prohibits idling for all charter buses on campus, most notably outside the Fowler Center. The cops will actively enforce the policy. The Sustainability Master Plan also highlights a need to
continue enforcing an idling policy.",True,"All of the stationary sources on campus are natural gas boilers and water heaters. The overall gasoline and natural gas used by these sources are measured through our Energy Watchdog metric measurer. Using conversion factors, w are able to calculate the overall air emissions from stationary sources. ",**,7.2,--,--,--,--,--,--,--,--,,--,--
Sheridan Institute of Technology and Advanced Learning,2016-01-15,2016-01-15 16:30:12,andre.plante@sheridancollege.ca,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Simon Fraser University,2016-02-08,2016-02-08 23:41:42,erica_lay@sfu.ca,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Slippery Rock University,2016-02-29,2016-02-29 14:18:52,paul.scanlon@sru.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Smith College,2016-03-23,2016-03-23 08:29:09,dweisbor@smith.edu,2.0,Pursuing,True,Smith College follows all state and federal polices.,True,Smith completes an air emissions inventory for its Title V Operating Permit.,**,9.0,1.27,6.586,3.492,--,3e-05,0.084,--,--,Smith College installed a gas turbine co-generation system to reduce its overall emissions from its original physical plant that consisted of only natural gas and #6 oil fired boilers.,--,--
Southern Connecticut State University,2016-03-24,2016-03-24 14:20:31,huminskis1@southernct.edu,2.0,Pursuing,True,"CT law prohibits idling vehicles for more than three minutes. 

All construction and renovation projects at SCSU include site management of particulates, and all construction and renovation that exceeds $5 million must be certified LEED silver minimum. 

SCSU removed all cigarette receptacles from outdoor areas and doorways in 2013. Additionally, following a federal initiative, SCSU is on track to be smoke-free by the end of the Spring 2015 semester. 

SCSU offers numerous incentives and alternatives to encourage a reduction in the number of vehicles on campus:
-hourly shuttle service to Union Station and downtown New Haven
-Zipcar 
-Free UPass for SCSU students to ride on CT Transit buses anywhere in CT
-NuRide alternative transportation incentives
-2 Electric vehicle charging stations in Wintergreen Garage
-Bicycle racks and bike lockers, showers and locker rooms for bikers ",True,The Campus Energy Center is SCSU's only significant stationary source of emissions. The university carefully monitors stack emissions according to all CT air emissions regulations. ,**,2.563,0.116,0.789,0.222,--,1.99e-05,0.126,--,--,"SCSU regularly services and tunes all boilers, and resets temperature of HTHW. SCSU fuels its its boilers in the campus energy center, which provides heat for nearly the entire campus, using natural gas.",--,"Information reported on stationary source emissions was provided by the Director of Environmental Health and Safety, and is verified as complete by the University Comptroller."
Southern Illinois University Carbondale,2016-03-25,2016-03-25 17:21:52,glkurtzhals@siu.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Southern Oregon University,2016-03-23,2016-03-23 15:38:29,beigelcod@sou.edu,2.0,Pursuing,True,"The Facilities Management and Planning department trains all employees operating campus vehicles to turn off the engine when the vehicle is idle for more than one minute. Additionally, the university continues to replace older landscaping equipment (mowers, blowers, etc.) with newer equipment that generates fewer emissions, choosing battery-powered equipment and alternative fuels when possible.",True,Southern Oregon University conducts an inventory of air emissions from stationary campus sources annually. Total emissions for a series of pollutants are calculated based on the amount of natural gas purchased for use in campus boilers. This information is then reported to the Oregon Department of Environmental Quality.,**,2.7,0.05,2.27,0.07,--,--,--,--,0.15,Southern Oregon University continues to look for opportunities to minimize air pollutant emissions from stationary sources. The university is currently conducting a study to determine the feasibility of replacing the campus' aging natural gas boilers with a biomass cogeneration facility. ,http://www.soucogeneration.org/,--
Spelman College,2016-02-15,2016-02-15 08:21:28,aefrazier@spelman.edu,2.0,Pursuing,--,,--,,**,--,--,--,--,--,--,--,--,--,,--,--
St. John's University,2016-03-02,2016-03-02 16:31:38,goldsmit@stjohns.edu,2.0,Pursuing,True,"Two things: NYS Department of Environmental Conservation (DEC) filing of Title 5 and; SJU's partnership with 511NY Rideshare. 511NY Rideshare is a NYS Department of Transportation-sponsored program that aims to reduce the number of single-occupancy vehicles on the roads. St. John’s dedicated Rideshare web portal, makes it easy to register and find others SJU employs with which to share a ride / car pool. ",True,"1. NYS DEC requires filing of all stationary equipment be filed under a Title 5 permit for air emissions. For this filing, SJU employees the services of Terranext Lcc for environmental consulting and filing of the required NYSDEC under Title 5. 
2. Dedicated web portal for faculty and staff to register for Rideshare. ",**,11.805,0.077,9.153,0.928,--,0.582,--,--,--,Limit the rate of boiler fire to meet the new Title 5 thresehold.,--,--
Stanford University,2016-03-23,2016-03-23 01:12:16,mbhafer@stanford.edu,2.0,Pursuing,True,"There are various guidelines and programs in place to reduce air pollutant emissions from mobile sources on the Stanford campus. There is a no idling policy for the Marguerite shuttle system. All bus/shuttle drivers are instructed to turn off their engines if they are at a stop for longer than three minutes. Land, Buildings, and Real Estate (LBRE), the owner/operator of the largest portion of university fleet vehicles also has a no idling policy with signage posted throughout the facilities yard. LBRE also includes a no idling policy in its contracts with external entities. The grounds crews have been moving away from gas/diesel-powered engines for their equipment in an effort to limit air pollutant emissions for the workers and the campus community. ",True,"The Bay Area Air Quality Management District (BAAQMD) has an inventory of emissions from all permitted sources. In addition, Stanford has completed engineering estimates for each of 85 toxic air contaminants from 3 new large lab buildings as part of the construction planning process. These estimates are evaluated in comparison to BAAQMD trigger levels for each compound.",**,0.001,--,--,--,--,--,--,--,0.003,"New emergency generators are equipped with active diesel particulate (DP) filters as appropriate to reduce overall risk associated with DP emissions on and off campus. In the Chemistry Department, researchers are instructed to use cold traps on their reflux and other equipment upstream of the vacuum pump to reduce emissions. Campus-wide, EH&S discourages intentional evaporation in fume hoods. This is part of the “Responsible Laboratory Management Practices” (BAAQMD; 2-1-224), which also include: 
i.    Open container procedures involving volatile toxics (from BAAQMD list) are avoided where feasible.
ii.    Avoid storage of open containers of volatile hazardous wastes.
iii.    Employee training includes the above
iv.    Fume hoods posted, and inspected annually to make certain that notices are posted
v.    Fume hoods monitored to assure proper face velocity
vi.    Evaporation of wastes forbidden

Please note the following:
-- General (NOx, CO, PM, CH4 [other]): Based on emissions data provided by diesel emergency generator manufacturers. Emissions factors multiplied by annual usage.
-- HAPs: Emissions are estimated based on chemical inventories in lab buildings including conservative usage and emissions rate assumptions.
-- ODCs: All refrigerant equipment maintenance is performed by certified technicians in accordance with EPA requirements to minimize emissions.
",--,--
